类别：所有类别

周,crude oil: (全球)
2010-01-03,42
2010-01-10,43
2010-01-17,44
2010-01-24,47
2010-01-31,46
2010-02-07,45
2010-02-14,38
2010-02-21,46
2010-02-28,44
2010-03-07,44
2010-03-14,43
2010-03-21,43
2010-03-28,43
2010-04-04,45
2010-04-11,37
2010-04-18,46
2010-04-25,49
2010-05-02,63
2010-05-09,63
2010-05-16,61
2010-05-23,58
2010-05-30,59
2010-06-06,53
2010-06-13,50
2010-06-20,42
2010-06-27,44
2010-07-04,40
2010-07-11,40
2010-07-18,36
2010-07-25,39
2010-08-01,42
2010-08-08,36
2010-08-15,37
2010-08-22,43
2010-08-29,34
2010-09-05,33
2010-09-12,39
2010-09-19,38
2010-09-26,44
2010-10-03,42
2010-10-10,42
2010-10-17,37
2010-10-24,36
2010-10-31,37
2010-11-07,45
2010-11-14,42
2010-11-21,32
2010-11-28,37
2010-12-05,40
2010-12-12,38
2010-12-19,33
2010-12-26,31
2011-01-02,46
2011-01-09,44
2011-01-16,50
2011-01-23,50
2011-01-30,59
2011-02-06,55
2011-02-13,52
2011-02-20,100
2011-02-27,84
2011-03-06,88
2011-03-13,64
2011-03-20,57
2011-03-27,48
2011-04-03,61
2011-04-10,65
2011-04-17,52
2011-04-24,50
2011-05-01,74
2011-05-08,83
2011-05-15,62
2011-05-22,51
2011-05-29,44
2011-06-05,45
2011-06-12,48
2011-06-19,61
2011-06-26,49
2011-07-03,42
2011-07-10,41
2011-07-17,39
2011-07-24,35
2011-07-31,55
2011-08-07,89
2011-08-14,55
2011-08-21,50
2011-08-28,39
2011-09-04,45
2011-09-11,40
2011-09-18,48
2011-09-25,47
2011-10-02,48
2011-10-09,44
2011-10-16,42
2011-10-23,38
2011-10-30,40
2011-11-06,42
2011-11-13,50
2011-11-20,39
2011-11-27,38
2011-12-04,36
2011-12-11,36
2011-12-18,30
2011-12-25,28
