时间序列,油价,油价差分
38051,36.64,1.38
38058,36.38,-0.26
38065,37.82,1.44
38072,36.56,-1.26
38079,35.22,-1.34
38086,35.66,0.44
38093,37.42,1.76
38100,36.78,-0.64
38107,37.33,0.55
38114,39.21,1.88
38121,40.44,1.23
38128,40.89,0.45
38135,40.58,-0.31
38142,40.02,-0.56
38149,37.98,-2.04
38156,37.86,-0.12
38163,37.76,-0.1
38170,37.22,-0.54
38177,39.76,2.54
38184,40.39,0.63
38191,41.23,0.84
38198,42.55,1.32
38205,43.83,1.28
38212,45.25,1.42
38219,47.33,2.08
38226,44.2,-3.13
38233,43.29,-0.91
38240,43.38,0.09
38247,44.26,0.88
38254,47.83,3.57
38261,49.76,1.93
38268,51.8,2.04
38275,53.9,2.1
38282,54.3,0.4
38289,52.97,-1.33
38296,49.81,-3.16
38303,48.01,-1.8
38310,46.9,-1.11
38317,49.01,2.11
38324,46.03,-2.98
38331,41.92,-4.11
38338,43.5,1.58
38345,44.96,1.46
38352,42.55,-2.41
38359,44.08,1.53
38366,46.76,2.68
38373,47.84,1.08
38380,48.65,0.81
38387,46.99,-1.66
38394,46.08,-0.91
38401,47.78,1.7
38408,51.3,3.52
38415,52.77,1.47
38422,54.24,1.47
38429,55.92,1.68
38436,55.33,-0.59
38443,54.99,-0.34
38450,55.27,0.28
38457,51.48,-3.79
38464,52.94,1.46
38471,52.37,-0.57
38478,50.47,-1.9
38485,50.35,-0.12
38492,47.71,-2.64
38499,50.53,2.82
38506,53.81,3.28
38513,53.72,-0.09
38520,56.25,2.53
38527,59.12,2.87
38534,58.25,-0.87
38541,60.31,2.06
38548,59.09,-1.22
38555,57.46,-1.63
38562,59.56,2.1
38569,61.6,2.04
38576,64.91,3.31
38583,64.84,-0.07
38590,66.42,1.58
38597,68.6,2.18
38604,64.73,-3.87
38611,63.86,-0.87
38618,66.22,2.36
38625,66.05,-0.17
38632,63.07,-2.98
38639,63.03,-0.04
38646,62.33,-0.7
38653,61.15,-1.18
38660,60.34,-0.81
38667,58.69,-1.65
38674,57.01,-1.68
38681,58.42,1.41
38688,57.79,-0.63
38695,59.82,2.03
38702,60.31,0.49
38709,58.12,-2.19
38716,59.84,1.72
38723,63.39,3.55
38730,63.73,0.34
38737,66.81,3.08
38744,67.01,0.2
38751,66.58,-0.43
38758,63.04,-3.54
38765,59.36,-3.68
38772,61.39,2.03
38779,62.28,0.89
38786,60.89,-1.39
38793,62.68,1.79
38800,62.19,-0.49
38807,66.09,3.9
38814,67.07,0.98
38821,68.92,1.85
38828,72.21,3.29
38835,72.2,-0.01
38842,72.14,-0.06
38849,71.59,-0.55
38856,69.12,-2.47
38863,70.71,1.59
38870,71.5,0.79
38877,71.58,0.08
38884,69.49,-2.09
38891,69.99,0.5
38898,72.67,2.68
38905,74.81,2.14
38912,75.29,0.48
38919,73.8,-1.49
38926,74.1,0.3
38933,75.07,0.97
38940,75.6,0.53
38947,71.93,-3.67
38954,72.34,0.41
38961,69.96,-2.38
38968,67.42,-2.54
38975,63.98,-3.44
38982,61.61,-2.37
38989,62.22,0.61
38996,59.78,-2.44
39003,58.5,-1.28
39010,58.37,-0.13
39017,60.13,1.76
39024,58.56,-1.57
39031,59.91,1.35
39038,57.54,-2.37
39045,59.4,1.86
39052,62.07,2.67
39059,62.32,0.25
39066,61.91,-0.41
39073,62.83,0.92
39080,60.76,-2.07
39087,56.74,-4.02
39094,54.12,-2.62
39101,51.48,-2.64
39108,54.24,2.76
39115,57.09,2.85
39122,58.99,1.9
39129,58.45,-0.54
39136,60.06,1.61
39143,61.66,1.6
39150,60.85,-0.81
39157,57.93,-2.92
39164,59.38,1.45
39171,64.36,4.98
39178,64.81,0.45
39185,62.58,-2.23
39192,63.01,0.43
39199,65.57,2.56
39206,63.78,-1.79
39213,61.89,-1.89
39220,63.6,1.71
39227,65.28,1.68
39234,63.93,-1.35
39241,65.89,1.96
39248,66.65,0.76
39255,68.83,2.18
39262,69.23,0.4
39269,71.78,2.55
39276,72.8,1.02
39283,74.94,2.14
39290,75.26,0.32
39297,76.78,1.52
39304,71.94,-4.84
39311,72.06,0.12
39318,70.15,-1.91
39325,72.92,2.77
39332,75.95,3.03
39339,78.96,3.01
39346,81.79,2.83
39353,81.06,-0.73
39360,80.58,-0.48
39367,81.47,0.89
39374,87.84,6.37
39381,88.45,0.61
39388,93.57,5.12
39395,95.77,2.2
39402,93.68,-2.09
39409,97.04,3.36
39416,92.49,-4.55
39423,88.73,-3.76
39430,91.16,2.43
39437,91.35,0.19
39444,95.68,4.33
39451,98.17,2.49
39458,94.7,-3.47
