x0,x1,x2,x3,y
106.91,106.53,104.4,104.35,0
106.9,106.91,106.53,104.4,0
106.36,106.9,106.91,106.53,1
105.97,106.36,106.9,106.91,1
106.43,105.97,106.36,106.9,0
107.26,106.43,105.97,106.36,0
106.17,107.26,106.43,105.97,1
106.03,106.17,107.26,106.43,0
106.5,106.03,106.17,107.26,0
105.84,106.5,106.03,106.17,0
105.74,105.84,106.5,106.03,0
105.37,105.74,105.84,106.5,0
105.34,105.37,105.74,105.84,0
104.48,105.34,105.37,105.74,0
104.06,104.48,105.34,105.37,0
103.53,104.06,104.48,105.34,0
103.4,103.53,104.06,104.48,1
102.29,103.4,103.53,104.06,0
102.93,102.29,103.4,103.53,1
100.83,102.93,102.29,103.4,0
100.91,100.83,102.93,102.29,1
99.96,100.91,100.83,102.93,1
101.2,99.96,100.91,100.83,0
103.19,101.2,99.96,100.91,1
103.13,103.19,101.2,99.96,0
104.59,103.13,103.19,101.2,0
104.42,104.59,103.13,103.19,0
103.12,104.42,104.59,103.13,1
102.07,103.12,104.42,104.59,0
102.09,102.07,103.12,104.42,0
101.67,102.09,102.07,103.12,0
100.97,101.67,102.09,102.07,0
100.27,100.97,101.67,102.09,0
98.17,100.27,100.97,101.67,1
97.88,98.17,100.27,100.97,0
98.29,97.88,98.17,100.27,0
97.38,98.29,97.88,98.17,1
96.92,97.38,98.29,97.88,1
97.34,96.92,97.38,98.29,1
97.65,97.34,96.92,97.38,0
98.08,97.65,97.34,96.92,1
97.37,98.08,97.65,97.34,0
97.59,97.37,98.08,97.65,1
95.58,97.59,97.37,98.08,0
97.35,95.58,97.59,97.37,0
96.41,97.35,95.58,97.59,1
94.48,96.41,97.35,95.58,0
96.07,94.48,96.41,97.35,0
93.96,96.07,94.48,96.41,0
93.65,93.96,96.07,94.48,1
93.35,93.65,93.96,96.07,1
93.86,93.35,93.65,93.96,1
93.88,93.86,93.35,93.65,1
94.55,93.88,93.86,93.35,0
95.96,94.55,93.88,93.86,1
92.88,95.96,94.55,93.88,0
95.54,92.88,95.96,94.55,0
94.45,95.54,92.88,95.96,0
93.29,94.45,95.54,92.88,1
92.66,93.29,94.45,95.54,0
92.75,92.66,93.29,94.45,1
91.67,92.75,92.66,93.29,0
92.83,91.67,92.75,92.66,1
92.27,92.83,91.67,92.75,1
92.92,92.27,92.83,91.67,0
94.88,92.92,92.27,92.83,0
94.42,94.88,92.92,92.27,0
93.07,94.42,94.88,92.92,0
92.41,93.07,94.42,94.88,1
91.52,92.41,93.07,94.42,1
91.56,91.52,92.41,93.07,0
92.8,91.56,91.52,92.41,1
92.53,92.8,91.56,91.52,1
93.54,92.53,92.8,91.56,0
94.57,93.54,92.53,92.8,0
91.16,94.57,93.54,92.53,1
90.73,91.16,94.57,93.54,0
91.01,90.73,91.16,94.57,1
89.74,91.01,90.73,91.16,0
90.34,89.74,91.01,90.73,0
88.85,90.34,89.74,91.01,0
87.31,88.85,90.34,89.74,1
85.77,87.31,88.85,90.34,0
85.82,85.77,87.31,88.85,0
85.74,85.82,85.77,87.31,0
81.84,85.74,85.82,85.77,1
81.78,81.84,85.74,85.82,1
82.7,81.78,81.84,85.74,0
82.75,82.7,81.78,81.84,1
82.71,82.75,82.7,81.78,0
82.81,82.71,82.75,82.7,1
80.52,82.81,82.71,82.75,0
82.09,80.52,82.81,82.71,0
81.01,82.09,80.52,82.81,1
81.0,81.01,82.09,80.52,1
81.42,81.0,81.01,82.09,0
82.2,81.42,81.0,81.01,0
81.12,82.2,81.42,81.0,0
80.54,81.12,82.2,81.42,0
78.78,80.54,81.12,82.2,1
77.19,78.78,80.54,81.12,0
78.68,77.19,78.78,80.54,1
77.91,78.68,77.19,78.78,0
78.65,77.91,78.68,77.19,1
77.4,78.65,77.91,78.68,0
77.94,77.4,78.65,77.91,0
77.18,77.94,77.4,78.65,1
74.21,77.18,77.94,77.4,0
75.82,74.21,77.18,77.94,0
75.64,75.82,74.21,77.18,0
74.61,75.64,75.82,74.21,1
74.58,74.61,75.64,75.82,1
75.58,74.58,74.61,75.64,0
76.51,75.58,74.58,74.61,0
75.78,76.51,75.58,74.58,0
74.09,75.78,76.51,75.58,0
73.69,74.09,75.78,76.51,1
66.15,73.69,74.09,75.78,0
69.0,66.15,73.69,74.09,1
66.88,69.0,66.15,73.69,0
67.38,66.88,69.0,66.15,0
66.81,67.38,66.88,69.0,0
65.84,66.81,67.38,66.88,1
63.05,65.84,66.81,67.38,0
63.82,63.05,65.84,66.81,0
60.94,63.82,63.05,65.84,0
59.95,60.94,63.82,63.05,0
57.81,59.95,60.94,63.82,1
55.91,57.81,59.95,60.94,1
55.93,55.91,57.81,59.95,0
56.47,55.93,55.91,57.81,1
54.11,56.47,55.93,55.91,0
56.52,54.11,56.47,55.93,1
55.26,56.52,54.11,56.47,0
57.12,55.26,56.52,54.11,0
55.84,57.12,55.26,56.52,0
54.73,55.84,57.12,55.26,1
53.61,54.73,55.84,57.12,0
54.12,53.61,54.73,55.84,0
53.27,54.12,53.61,54.73,0
52.69,53.27,54.12,53.61,0
50.04,52.69,53.27,54.12,1
47.93,50.04,52.69,53.27,1
48.65,47.93,50.04,52.69,0
48.79,48.65,47.93,50.04,0
48.36,48.79,48.65,47.93,0
46.07,48.36,48.79,48.65,1
45.89,46.07,48.36,48.79,0
48.48,45.89,46.07,48.36,1
46.25,48.48,45.89,46.07,0
48.69,46.25,48.48,45.89,1
46.39,48.69,46.25,48.48,0
47.78,46.39,48.69,46.25,0
46.31,47.78,46.39,48.69,0
45.59,46.31,47.78,46.39,1
45.15,45.59,46.31,47.78,0
46.23,45.15,45.59,46.31,1
44.45,46.23,45.15,45.59,1
44.53,44.45,46.23,45.15,1
48.24,44.53,44.45,46.23,1
49.57,48.24,44.53,44.45,0
53.05,49.57,48.24,44.53,1
48.45,53.05,49.57,48.24,1
50.48,48.45,53.05,49.57,1
51.69,50.48,48.45,53.05,0
52.86,51.69,50.48,48.45,0
50.02,52.86,51.69,50.48,1
48.84,50.02,52.86,51.69,1
51.21,48.84,50.02,52.86,1
52.78,51.21,48.84,50.02,0
53.53,52.78,51.21,48.84,0
