x0,x1,x2,x3,x4,x5,y
106.91,106.53,104.4,104.35,0.23728813559322035,0.16666666666666666,0
106.9,106.91,106.53,104.4,0.34177215189873417,0.23728813559322035,0
106.36,106.9,106.91,106.53,0.37662337662337664,0.34177215189873417,1
105.97,106.36,106.9,106.91,0.47058823529411764,0.37662337662337664,1
106.43,105.97,106.36,106.9,0.9259259259259259,0.47058823529411764,0
107.26,106.43,105.97,106.36,0.23076923076923078,0.9259259259259259,0
106.17,107.26,106.43,105.97,0.3181818181818182,0.23076923076923078,1
106.03,106.17,107.26,106.43,0.13513513513513514,0.3181818181818182,0
106.5,106.03,106.17,107.26,0.18309859154929578,0.13513513513513514,0
105.84,106.5,106.03,106.17,-0.02564102564102564,0.18309859154929578,0
105.74,105.84,106.5,106.03,0.2,-0.02564102564102564,0
105.37,105.74,105.84,106.5,0.09090909090909091,0.2,0
105.34,105.37,105.74,105.84,0.3170731707317073,0.09090909090909091,0
104.48,105.34,105.37,105.74,0.6923076923076923,0.3170731707317073,0
104.06,104.48,105.34,105.37,0.23943661971830985,0.6923076923076923,0
103.53,104.06,104.48,105.34,0.14285714285714285,0.23943661971830985,0
103.4,103.53,104.06,104.48,0.18181818181818182,0.14285714285714285,1
102.29,103.4,103.53,104.06,0.18811881188118812,0.18181818181818182,0
102.93,102.29,103.4,103.53,0.10344827586206896,0.18811881188118812,1
100.83,102.93,102.29,103.4,0.36,0.10344827586206896,0
100.91,100.83,102.93,102.29,0.1111111111111111,0.36,1
99.96,100.91,100.83,102.93,0.16923076923076924,0.1111111111111111,1
101.2,99.96,100.91,100.83,0.19626168224299065,0.16923076923076924,0
103.19,101.2,99.96,100.91,-0.06666666666666667,0.19626168224299065,1
103.13,103.19,101.2,99.96,0.15151515151515152,-0.06666666666666667,0
104.59,103.13,103.19,101.2,0.12727272727272726,0.15151515151515152,0
104.42,104.59,103.13,103.19,0.4146341463414634,0.12727272727272726,0
103.12,104.42,104.59,103.13,0.18518518518518517,0.4146341463414634,1
102.07,103.12,104.42,104.59,0.08333333333333333,0.18518518518518517,0
102.09,102.07,103.12,104.42,0.11538461538461539,0.08333333333333333,0
101.67,102.09,102.07,103.12,0.012048192771084338,0.11538461538461539,0
100.97,101.67,102.09,102.07,0.14583333333333334,0.012048192771084338,0
100.27,100.97,101.67,102.09,0.08771929824561403,0.14583333333333334,0
98.17,100.27,100.97,101.67,0.15294117647058825,0.08771929824561403,1
97.88,98.17,100.27,100.97,0.2,0.15294117647058825,0
98.29,97.88,98.17,100.27,0.16666666666666666,0.2,0
97.38,98.29,97.88,98.17,0.3157894736842105,0.16666666666666666,1
96.92,97.38,98.29,97.88,0.625,0.3157894736842105,1
97.34,96.92,97.38,98.29,0.1111111111111111,0.625,1
97.65,97.34,96.92,97.38,0.4166666666666667,0.1111111111111111,0
98.08,97.65,97.34,96.92,0.4426229508196721,0.4166666666666667,1
97.37,98.08,97.65,97.34,-0.02127659574468085,0.4426229508196721,0
97.59,97.37,98.08,97.65,0.5384615384615384,-0.02127659574468085,1
95.58,97.59,97.37,98.08,0.0,0.5384615384615384,0
97.35,95.58,97.59,97.37,0.3333333333333333,0.0,0
96.41,97.35,95.58,97.59,0.3939393939393939,0.3333333333333333,1
94.48,96.41,97.35,95.58,0.36363636363636365,0.3939393939393939,0
96.07,94.48,96.41,97.35,0.1891891891891892,0.36363636363636365,0
93.96,96.07,94.48,96.41,0.225,0.1891891891891892,0
93.65,93.96,96.07,94.48,0.35714285714285715,0.225,1
93.35,93.65,93.96,96.07,0.18518518518518517,0.35714285714285715,1
93.86,93.35,93.65,93.96,-0.13333333333333333,0.18518518518518517,1
93.88,93.86,93.35,93.65,-0.08196721311475409,-0.13333333333333333,1
94.55,93.88,93.86,93.35,0.1774193548387097,-0.08196721311475409,0
95.96,94.55,93.88,93.86,-0.02127659574468085,0.1774193548387097,1
92.88,95.96,94.55,93.88,0.06521739130434782,-0.02127659574468085,0
95.54,92.88,95.96,94.55,0.09473684210526316,0.06521739130434782,0
94.45,95.54,92.88,95.96,0.45454545454545453,0.09473684210526316,0
93.29,94.45,95.54,92.88,-0.1044776119402985,0.45454545454545453,1
92.66,93.29,94.45,95.54,-0.04854368932038835,-0.1044776119402985,0
92.75,92.66,93.29,94.45,-0.034482758620689655,-0.04854368932038835,1
91.67,92.75,92.66,93.29,0.7647058823529411,-0.034482758620689655,0
92.83,91.67,92.75,92.66,-0.08333333333333333,0.7647058823529411,1
92.27,92.83,91.67,92.75,0.2608695652173913,-0.08333333333333333,1
92.92,92.27,92.83,91.67,0.1794871794871795,0.2608695652173913,0
94.88,92.92,92.27,92.83,0.1891891891891892,0.1794871794871795,0
94.42,94.88,92.92,92.27,0.12903225806451613,0.1891891891891892,0
93.07,94.42,94.88,92.92,0.7142857142857143,0.12903225806451613,0
92.41,93.07,94.42,94.88,-0.08333333333333333,0.7142857142857143,1
91.52,92.41,93.07,94.42,-0.01818181818181818,-0.08333333333333333,1
91.56,91.52,92.41,93.07,0.15789473684210525,-0.01818181818181818,0
92.8,91.56,91.52,92.41,0.14285714285714285,0.15789473684210525,1
92.53,92.8,91.56,91.52,-0.05263157894736842,0.14285714285714285,1
93.54,92.53,92.8,91.56,-0.09774436090225563,-0.05263157894736842,0
94.57,93.54,92.53,92.8,-0.1111111111111111,-0.09774436090225563,0
91.16,94.57,93.54,92.53,0.2553191489361702,-0.1111111111111111,1
90.73,91.16,94.57,93.54,0.15151515151515152,0.2553191489361702,0
91.01,90.73,91.16,94.57,-0.01818181818181818,0.15151515151515152,1
89.74,91.01,90.73,91.16,0.008403361344537815,-0.01818181818181818,0
90.34,89.74,91.01,90.73,0.07894736842105263,0.008403361344537815,0
88.85,90.34,89.74,91.01,0.06097560975609756,0.07894736842105263,0
87.31,88.85,90.34,89.74,-0.05785123966942149,0.06097560975609756,1
85.77,87.31,88.85,90.34,0.15789473684210525,-0.05785123966942149,0
85.82,85.77,87.31,88.85,0.014084507042253521,0.15789473684210525,0
85.74,85.82,85.77,87.31,-0.03333333333333333,0.014084507042253521,0
81.84,85.74,85.82,85.77,0.1276595744680851,-0.03333333333333333,1
81.78,81.84,85.74,85.82,0.37777777777777777,0.1276595744680851,1
82.7,81.78,81.84,85.74,-0.03333333333333333,0.37777777777777777,0
82.75,82.7,81.78,81.84,0.02631578947368421,-0.03333333333333333,1
82.71,82.75,82.7,81.78,0.0,0.02631578947368421,0
82.81,82.71,82.75,82.7,0.11538461538461539,0.0,1
80.52,82.81,82.71,82.75,0.12195121951219512,0.11538461538461539,0
82.09,80.52,82.81,82.71,-0.125,0.12195121951219512,0
81.01,82.09,80.52,82.81,0.07142857142857142,-0.125,1
81.0,81.01,82.09,80.52,0.11219512195121951,0.07142857142857142,1
81.42,81.0,81.01,82.09,0.11504424778761062,0.11219512195121951,0
82.2,81.42,81.0,81.01,0.1,0.11504424778761062,0
81.12,82.2,81.42,81.0,0.04,0.1,0
80.54,81.12,82.2,81.42,0.056179775280898875,0.04,0
78.78,80.54,81.12,82.2,0.21008403361344538,0.056179775280898875,1
77.19,78.78,80.54,81.12,0.02040816326530612,0.21008403361344538,0
78.68,77.19,78.78,80.54,0.05555555555555555,0.02040816326530612,1
77.91,78.68,77.19,78.78,0.07042253521126761,0.05555555555555555,0
78.65,77.91,78.68,77.19,0.18110236220472442,0.07042253521126761,1
77.4,78.65,77.91,78.68,0.06451612903225806,0.18110236220472442,0
77.94,77.4,78.65,77.91,0.058823529411764705,0.06451612903225806,0
77.18,77.94,77.4,78.65,0.2,0.058823529411764705,1
74.21,77.18,77.94,77.4,-0.15254237288135594,0.2,0
75.82,74.21,77.18,77.94,-0.24528301886792453,-0.15254237288135594,0
75.64,75.82,74.21,77.18,0.19327731092436976,-0.24528301886792453,0
74.61,75.64,75.82,74.21,0.19444444444444445,0.19327731092436976,1
74.58,74.61,75.64,75.82,0.02127659574468085,0.19444444444444445,1
75.58,74.58,74.61,75.64,-0.04,0.02127659574468085,0
76.51,75.58,74.58,74.61,-0.08960573476702509,-0.04,0
75.78,76.51,75.58,74.58,-0.011111111111111112,-0.08960573476702509,0
74.09,75.78,76.51,75.58,0.06153846153846154,-0.011111111111111112,0
73.69,74.09,75.78,76.51,-0.02857142857142857,0.06153846153846154,1
66.15,73.69,74.09,75.78,0.03896103896103896,-0.02857142857142857,0
69.0,66.15,73.69,74.09,0.11627906976744186,0.03896103896103896,1
66.88,69.0,66.15,73.69,0.10112359550561797,0.11627906976744186,0
67.38,66.88,69.0,66.15,0.07692307692307693,0.10112359550561797,0
66.81,67.38,66.88,69.0,0.03333333333333333,0.07692307692307693,0
65.84,66.81,67.38,66.88,-0.1,0.03333333333333333,1
63.05,65.84,66.81,67.38,-0.22448979591836735,-0.1,0
63.82,63.05,65.84,66.81,-0.034482758620689655,-0.22448979591836735,0
60.94,63.82,63.05,65.84,0.09473684210526316,-0.034482758620689655,0
59.95,60.94,63.82,63.05,0.04054054054054054,0.09473684210526316,0
57.81,59.95,60.94,63.82,0.11258278145695365,0.04054054054054054,1
55.91,57.81,59.95,60.94,0.16326530612244897,0.11258278145695365,1
55.93,55.91,57.81,59.95,0.26666666666666666,0.16326530612244897,0
56.47,55.93,55.91,57.81,0.0,0.26666666666666666,1
54.11,56.47,55.93,55.91,-0.21739130434782608,0.0,0
56.52,54.11,56.47,55.93,0.0,-0.21739130434782608,1
55.26,56.52,54.11,56.47,0.125,0.0,0
57.12,55.26,56.52,54.11,0.0625,0.125,0
55.84,57.12,55.26,56.52,-0.08235294117647059,0.0625,0
54.73,55.84,57.12,55.26,-0.11504424778761062,-0.08235294117647059,1
53.61,54.73,55.84,57.12,-0.04602510460251046,-0.11504424778761062,0
54.12,53.61,54.73,55.84,0.034013605442176874,-0.04602510460251046,0
53.27,54.12,53.61,54.73,-0.008849557522123894,0.034013605442176874,0
52.69,53.27,54.12,53.61,0.10227272727272728,-0.008849557522123894,0
50.04,52.69,53.27,54.12,0.034482758620689655,0.10227272727272728,1
47.93,50.04,52.69,53.27,0.022388059701492536,0.034482758620689655,1
48.65,47.93,50.04,52.69,-0.024,0.022388059701492536,0
48.79,48.65,47.93,50.04,0.08943089430894309,-0.024,0
48.36,48.79,48.65,47.93,-0.14285714285714285,0.08943089430894309,0
46.07,48.36,48.79,48.65,0.05063291139240506,-0.14285714285714285,1
45.89,46.07,48.36,48.79,0.0735930735930736,0.05063291139240506,0
48.48,45.89,46.07,48.36,0.20967741935483872,0.0735930735930736,1
46.25,48.48,45.89,46.07,-0.010309278350515464,0.20967741935483872,0
48.69,46.25,48.48,45.89,-0.10989010989010989,-0.010309278350515464,1
46.39,48.69,46.25,48.48,0.01639344262295082,-0.10989010989010989,0
47.78,46.39,48.69,46.25,0.2248062015503876,0.01639344262295082,0
46.31,47.78,46.39,48.69,0.3191489361702128,0.2248062015503876,0
45.59,46.31,47.78,46.39,0.038461538461538464,0.3191489361702128,1
45.15,45.59,46.31,47.78,0.11428571428571428,0.038461538461538464,0
46.23,45.15,45.59,46.31,0.07586206896551724,0.11428571428571428,1
